AT32UC3A0512,0xED,0xC0,0x3F
AT90CAN128,0x1e,0x97,0x81
AT90CAN32,0x1e,0x95,0x81
AT90CAN64,0x1e,0x96,0x81
AT90PWM1,0x1e,0x93,0x83
AT90PWM161,0x1e,0x94,0x8B
AT90PWM2,0x1e,0x93,0x81
AT90PWM216,0x1e,0x94,0x83
AT90PWM2B,0x1e,0x93,0x83
AT90PWM316,0x1e,0x94,0x83
AT90PWM3B,0x1e,0x93,0x83
AT90PWM81,0x1e,0x93,0x88
AT90S1200,0x1e,0x90,0x01
AT90S2313,0x1e,0x91,0x01
AT90S2333,0x1e,0x91,0x05
AT90S2343,0x1e,0x91,0x03
AT90S4414,0x1e,0x92,0x01
AT90S4433,0x1e,0x92,0x03
AT90S4434,0x1e,0x92,0x02
AT90S8515,0x1e,0x93,0x01
AT90S8535,0x1e,0x93,0x03
AT90USB1286,0x1e,0x97,0x82
AT90USB1287,0x1e,0x97,0x82
AT90USB162,0x1e,0x94,0x82
AT90USB646,0x1e,0x96,0x82
AT90USB647,0x1e,0x96,0x82
AT90USB82,0x1e,0x93,0x82
ATmega103,0x1e,0x97,0x01
ATmega128,0x1e,0x97,0x02
ATmega1280,0x1e,0x97,0x03
ATmega1281,0x1e,0x97,0x04
ATmega1284,0x1e,0x97,0x06
ATmega1284P,0x1e,0x97,0x05
ATmega1284RFR2,0x1e,0xa7,0x03
ATmega128A,0x1e,0x97,0x02
ATmega128RFA1,0x1e,0xa7,0x01
ATmega128RFR2,0x1e,0xa7,0x02
ATmega16,0x1e,0x94,0x03
ATmega161,0x1e,0x94,0x01
ATmega162,0x1e,0x94,0x04
ATmega163,0x1e,0x94,0x02
ATmega164A,0x1e,0x94,0x0f
ATmega164P,0x1e,0x94,0x0a
ATmega165P,0x1e,0x94,0x07
ATmega165PA,0x1e,0x94,0x07
ATmega168,0x1e,0x94,0x06
ATmega168P,0x1e,0x94,0x0b
ATmega168PB,0x1e,0x94,0x15
ATmega169,0x1e,0x94,0x05
ATmega169A,0x1e,0x94,0x11
ATmega16A,0x1e,0x94,0x03
ATmega16HVA,0x1e,0x94,0x0c
ATmega16HVB,0x1e,0x94,0x0d
ATmega16HVBrevB,0x1e,0x94,0x0d
ATmega16M1,0x1e,0x94,0x84
ATmega16U2,0x1e,0x94,0x89
ATmega16U4,0x1e,0x94,0x88
ATmega2560,0x1e,0x98,0x01
ATmega2561,0x1e,0x98,0x02
ATmega2564RFR2,0x1e,0xa8,0x03
ATmega256RFR2,0x1e,0xa8,0x02
ATmega32,0x1e,0x95,0x02
ATmega324A,0x1e,0x95,0x15
ATmega324P,0x1e,0x95,0x08
ATmega324PA,0x1e,0x95,0x11
ATmega324PB,0x1e,0x95,0x17
ATmega325,0x1e,0x95,0x05
ATmega3250,0x1e,0x95,0x06
ATmega3250A,0x1e,0x95,0x06
ATmega3250P,0x1e,0x95,0x0e
ATmega3250PA,0x1e,0x95,0x0e
ATmega325A,0x1e,0x95,0x05
ATmega325P,0x1e,0x95,0x0d
ATmega325PA,0x1e,0x95,0x0d
ATmega328,0x1e,0x95,0x14
ATmega328P,0x1e,0x95,0x0f
ATmega328PB,0x1e,0x95,0x16
ATmega329,0x1e,0x95,0x03
ATmega3290,0x1e,0x95,0x04
ATmega3290P,0x1e,0x95,0x0c
ATmega329P,0x1e,0x95,0x0b
ATmega329P,0x1e,0x95,0x0b
ATmega32A,0x1e,0x95,0x02
ATmega32C1,0x1e,0x95,0x86
ATmega32HVB,0x1e,0x95,0x10
ATmega32HVBrevB,0x1e,0x95,0x10
ATmega32M1,0x1e,0x95,0x84
ATmega32M1,0x1e,0x95,0x84
ATmega32U2,0x1e,0x95,0x8a
ATmega32U4,0x1e,0x95,0x87
ATmega406,0x1e,0x95,0x07
ATmega406,0x1e,0x95,0x07
ATmega48,0x1e,0x92,0x05
ATmega48P,0x1e,0x92,0x0a
ATmega48PB,0x1e,0x92,0x10
ATmega64,0x1e,0x96,0x02
ATmega640,0x1e,0x96,0x08
